course_code,facility_code,course_name,hol,par,course_type,course_architect,open_date,guest_policy,weekday_price,weekend_price,twilight_price,fairway,green,currency
USA-AK-00001-01,USA-AK-00001,Anchorage,18,72,Parkland,Bill Newcomb,1987,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AK-00002-01,USA-AK-00002,Bear Valley,9,36,Parkland,Richard L Blackburn & Wayne Berry,1986,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AK-00003-01,USA-AK-00003,Birch Ridge,9,35,Parkland,Tom Smith/Charlie Foster,1973,Open,18,19,18,N/D,N/D,USD
USA-AK-00003-02,USA-AK-00003,Birch Ridge (Alternate Tees),9,35,Parkland,Tom Smith/Charlie Foster,1973,Open,18,19,18,N/D,N/D,USD
USA-AK-00004-01,USA-AK-00004,Chena Bend,18,72,Parkland,N/D,1942,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AK-00005-01,USA-AK-00005,Eagleglen,18,72,Parkland,Robert Trent Jones Jr,1972,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AK-00006-01,USA-AK-00006,Fairbanks,9,36,Parkland,N/D,1946,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AK-00007-01,USA-AK-00007,Kenai,18,72,Parkland,D Morgan/M Davis/R Collins,1986,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AK-00008-01,USA-AK-00008,Creek,18,72,Parkland,Robin Nelson/Neil Haworth,2000,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AK-00008-02,USA-AK-00008,Hill,18,72,Parkland,Army Corps of Engineers,1952,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AK-00009-01,USA-AK-00009,Mount Fairweather,9,36,Parkland,Moragan De Boer,1998,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AK-00010-01,USA-AK-00010,Muskeg Meadows,9,36,Parkland,Jerry Bakeberg,1998,Open,16,16,16,N/D,N/D,USD
USA-AK-00011-01,USA-AK-00011,North Star,18,71,Parkland,Jack Stallings,1993,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AK-00012-01,USA-AK-00012,Palmer,18,72,Parkland,Iliad Corporation,1990,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AK-00013-01,USA-AK-00013,Settlers Bay,18,72,Parkland,N/D,1975,Open,N/D,N/D,N/D,N/D,N/D,USD
USA-AK-00014-01,USA-AK-00014,Tanglewood Lakes,9,27,Parkland,Bob Burnett,1996,Open,15,18,18,N/D,N/D,USD
USA-AL-00001-01,USA-AL-00001,Albertville,18,72,Parkland,Leon Howard,1966,Closed,~,~,~,N/D,N/D,USD
