facility_code,facility_name,club_membership,number_of_holes,address,city,state,country,postal_code,phone,fax,website,longitude,latitude,contact_name,contact_title,email_address,driving_range,putting_green,chipping_green,practice_bunker,motor_cart,pull_cart,golf_clubs_rental,club_fitting,pro_shop,golf_lessons,caddie_hire,restaurant,reception_hall,changing_room,lockers,lodging_on_site
AUS-NS-0200,Henbury Golf Club,Semi-Private,18,Henbury Avenue,Kandos,New South Wales,Australia,2848,+61 02 6379 4101,+61 02 6379 4101,http://henburygolf.com.au/,149.969481,-32.854224,Bruce Mason,President,info@henburygolf.com.au ,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No
BHS-AB-0001,"Treasure Cay Beach, Marina and Golf Resort",Resort,18,Treasure Cay Road,Treasure Cay,The Abacos,Bahamas,N/D,800-327-1584,954-525-1699,http://www.treasurecay.com,-77.28828,26.67655,,,info@treasurecay.com,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
CAN-AL-0001,Fairmont Banff Springs,Resort,27,405 Spray Avenue,Banff,Alberta,Canada,T1L 1J4,(403) 762-6801,+1 403-762-6363,www.fairmontgolf.com/banffsprings,-115.53858,51.17402,Stan Bishop,General Manager,bsh.golfreservations@fairmont.com,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
GBR-ABD-0032,Alford Golf Club,Semi-Private,18,Montgarrie Road,Alford,Aberdeenshire,United Kingdom,AB33 8AE,+44 019755 62178,,http://golf.alford.co.uk/,-2.702749,57.234084,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
IRL-COR-0004,Blarney Golf Resort,Resort,18,Kerry Road,Blarney,Cork,Ireland,,+353 21 438 4477,,http://www.blarneyresort.com/,-8.609527,51.928088,Alan O'Meara,,alan.omeara@blarneygolfresort.com,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
MAR-MA-0004,Royal Golf de Marrakech,Semi-Private,27,Ancienne Route de Ouarzazate,Marrakech,Marrakech-Tensift-El Haouz,Morocco,40000,+212 5 24 40 47 05,+212 5 24 40 00 84,http://www.royalgolfmarrakech.com,-7.947546,31.611982,Oussama Mamour,Commercial,contact@royalgolfmarrakech.com,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
MEX-QR-0006,El Camaleon Mayakoba Golf Club,Resort,18,Carr. Fed. Chetumal-Pto Juarez,Playa del Carmen,Quintana Roo,Mexico,77710,+52 (984) 206-3088,+52 (984) 206-3077,http://www.fairmontgolf.com/mayakoba,-87.031009,20.690216,Claudia Montoro,Golf Administrator,claudia.montoro@fairmont.com,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
USA-FL-00011,Amelia Island Plantation ,Resort,54,39 Beach Lagoon Road,Amelia Island,Florida,United States of America,32034,(904) 277-5907,(904) 277-5990,www.aipfl.com,-81.455364,30.6204988,Ed Bowe,,edbowe@gmail.com,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
USA-IL-00134,Eagle Ridge Golf Club,Resort,63,444 Eagle Ridge Drive,Galena,Illinois,United States of America,61036,(815) 777-2500,(815) 777-4500,www.eagleridge.com,-90.333404,42.390853,,,ermembership@eagleridge.com,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
JAP-01-0009,Rusutsu Resort Golf 72,Resort,54,"13, Izumikawa, Rusutsu",Abuta,Hokkaido,Japan,JP-01 048-1711,+81 0136-46-3111,+81 0136-46-3229,en.rusutsu.co.jp/summer-season/golf/,140.904709,42.748674,,,,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No
