tee_id,course_code,tee_name,tee_color,course_par_for_tee,hole1,hole2,hole3,hole4,hole5,hole6,hole7,hole8,hole9,hole10,hole11,hole12,hole13,hole14,hole15,hole16,hole17,hole18,total_distance,hole1_par,hole2_par,hole3_par,hole4_par,hole5_par,hole6_par,hole7_par,hole8_par,hole9_par,hole10_par,hole11_par,hole12_par,hole13_par,hole14_par,hole15_par,hole16_par,hole17_par,hole18_par,hole1_handicap,hole2_handicap,hole3_handicap,hole4_handicap,hole5_handicap,hole6_handicap,hole7_handicap,hole8_handicap,hole9_handicap,hole10_handicap,hole11_handicap,hole12_handicap,hole13_handicap,hole14_handicap,hole15_handicap,hole16_handicap,hole17_handicap,hole18_handicap,rating,slope,,,
AUS-NS-0200-01-01,AUS-NS-0200-01,Men,Blue,70,341,375,207,351,349,195,123,467,366,356,365,119,356,336,544,397,352,324,5923,4,4,3,4,4,3,3,5,4,4,4,3,4,4,5,4,4,4,13,1,5,11,9,7,17,15,3,10,8,18,6,14,2,4,12,16,72,N/D,,,
AUS-NS-0200-01-02,AUS-NS-0200-01,Associates,Red,72,342,371,183,316,312,195,123,412,308,284,308,119,302,336,410,319,271,286,5197,4,5,3,4,4,4,3,5,4,4,4,3,4,4,5,4,4,4,13,3,9,5,11,17,15,7,1,16,12,18,10,8,2,6,14,4,72,N/D,,,
BHS-AB-0001-01-01,BHS-AB-0001-01,Blue,Blue,72,402,563,390,174,372,385,510,202,414,430,526,208,365,403,146,394,502,423,6809,4,5,4,3,4,4,5,3,4,4,5,3,4,4,3,4,5,4,6,8,14,18,12,4,10,16,2,1,7,15,13,5,17,9,11,3,N/D,N/D,,,
BHS-AB-0001-01-02,BHS-AB-0001-01,White,White,72,382,538,365,145,347,366,486,183,398,419,503,187,348,389,125,371,483,401,6436,4,5,4,3,4,4,5,3,4,4,5,3,4,4,3,4,5,4,6,8,14,18,12,4,10,16,2,1,7,15,13,5,17,9,11,3,N/D,N/D,,,
BHS-AB-0001-01-03,BHS-AB-0001-01,Red,Red,73,373,486,351,134,333,311,407,139,339,408,441,177,295,342,115,295,403,334,5683,4,5,4,3,4,4,5,3,4,5,5,3,4,4,3,4,5,4,3,1,13,17,11,9,7,15,5,6,4,12,16,2,18,14,10,8,N/D,N/D,,,
CAN-AL-0001-01-01,CAN-AL-0001-01,Black,Black,71,414,171,528,192,424,373,602,150,501,218,417,442,225,440,475,414,374,578,6938,4,3,5,3,4,4,5,3,5,3,4,4,3,4,4,4,4,5,9,15,3,13,5,11,1,17,7,10,12,2,16,8,6,14,18,4,72.9,135,,,
CAN-AL-0001-01-02,CAN-AL-0001-01,White,White,71,383,147,501,165,391,344,540,125,458,197,389,414,191,411,459,385,337,552,6389,4,3,5,3,4,4,5,3,5,3,4,4,3,4,4,4,4,5,9,15,3,13,5,11,1,17,7,10,12,2,16,8,6,14,18,4,70.0,133,,,
CAN-AL-0001-01-03,CAN-AL-0001-01,White (L),White,71,383,147,501,165,391,344,540,125,458,197,389,414,191,411,459,385,337,552,6389,4,3,5,3,4,4,5,3,5,3,4,4,3,4,4,4,4,5,9,15,3,13,5,11,1,17,7,10,12,2,16,8,6,14,18,4,75.9,146,,,
CAN-AL-0001-01-04,CAN-AL-0001-01,Gold,Gold,71,353,127,465,79,359,307,517,91,407,128,357,390,149,354,405,348,314,457,5607,4,3,5,3,4,4,5,3,5,3,4,4,3,4,4,4,4,5,9,15,3,13,5,11,1,17,7,10,12,2,16,8,6,14,18,4,66.0,123,,,
CAN-AL-0001-01-05,CAN-AL-0001-01,Gold (L),Gold,71,353,127,465,79,359,307,517,91,407,128,357,390,149,354,405,348,314,457,5607,4,3,5,3,4,4,5,3,5,3,4,4,3,4,4,4,4,5,9,15,3,13,5,11,1,17,7,10,12,2,16,8,6,14,18,4,71.6,137,,,
